time,temp,pH,DissolvedOxygen,Conductivity,Turbidity,PermanganateIndex,AmmoniaNitrogen,TotalPhosphorus,TotalNitrogen
2020/11/9 0:00,26,7.23,7.22,151.6,18.5,5.49,0.072,0.074,1.54
2020/11/9 4:00,25.9,7.2,7.1,152,18.5,5.49,0.072,0.074,1.54
2020/11/9 8:00,25.4,7.17,6.98,152.4,16.2,5.9,0.081,0.078,1.45
2020/11/9 12:00,25.8,7.2,7.2,152.4,16.8,5.42,0.095,0.075,1.45
2020/11/9 16:00,26.3,7.38,7.46,152.5,16.4,5.1,0.074,0.075,1.49
2020/11/9 20:00,25.8,7.24,7.04,153.3,15.3,5.74,0.068,0.077,1.49
2020/11/10 0:00,25.7,7.2,7.07,152.6,16.9,5.9,0.098,0.075,1.48
2020/11/10 4:00,25.5,7.14,6.77,154.2,15.6,5.9,0.098,0.075,1.48
2020/11/10 8:00,25.2,7.13,6.74,153.1,18.1,5.57,0.113,0.077,1.47
2020/11/10 12:00,25.3,7.14,6.89,153.1,17.4,6.03,0.108,0.073,1.46
2020/11/10 16:00,25.6,7.17,6.94,153.2,18.4,5.05,0.101,0.075,1.47
2020/11/10 20:00,25.2,6.63,6.85,157,16.5,5.33,0.099,0.074,1.41
2020/11/11 0:00,25.2,6.62,7.04,153.9,20.6,5.19,0.139,0.079,1.47
2020/11/11 4:00,25.1,6.57,6.6,155.7,20.5,5.19,0.139,0.079,1.47
2020/11/11 8:00,25,6.58,6.85,155,18.1,5.19,0.173,0.081,1.81
2020/11/11 12:00,25.3,6.65,7.24,155.2,19.4,5.34,0.166,0.081,1.47
2020/11/11 16:00,25.7,6.74,7.39,155.4,17.7,5.33,0.152,0.083,1.81
2020/11/11 20:00,25.4,6.67,7.1,157.7,17,5.46,0.14,0.078,1.47
2020/11/12 0:00,25.3,6.67,7.19,156,16.6,5.02,0.162,0.081,1.46
2020/11/12 4:00,25.1,6.57,6.89,157.1,15.4,5.02,0.162,0.081,1.46
2020/11/12 8:00,24.9,6.56,6.9,156.6,18,4.95,0.196,0.08,1.53
2020/11/12 12:00,25.4,6.61,7.08,156.6,19.3,5.68,0.186,0.081,1.48
2020/11/12 16:00,26,6.72,7.36,156.6,17.1,5.61,0.183,0.083,1.84
2020/11/12 20:00,25.7,6.65,7.07,157.7,18.8,5.39,0.168,0.085,1.48
2020/11/13 0:00,25.2,6.64,7.06,157.4,14.2,4.81,0.178,0.084,1.45
2020/11/13 4:00,25,6.54,6.69,157.6,17.4,4.81,0.178,0.084,1.45
2020/11/13 8:00,24.6,6.53,6.81,157.9,20.8,5.07,0.201,0.082,1.46
2020/11/13 12:00,25.8,6.59,6.7,158.8,17,5.37,0.2,0.084,1.46
2020/11/13 16:00,26.2,6.84,7.36,157.5,17,5.18,0.206,0.086,1.48
2020/11/13 20:00,25.8,6.7,7.12,159.8,17.7,5.37,0.165,0.091,1.45
2020/11/14 4:00,25,6.49,5.65,334,14,-1,-1,-1,-1
2020/11/14 8:00,24.8,6.13,5.46,2704.3,16.7,4.85,0.194,0.088,1.44
2020/11/14 12:00,25.1,6.7,6.84,185.6,19.4,4.81,0.341,0.086,1.62
2020/11/14 16:00,24.9,6.73,6.87,159.2,22.9,4.54,0.134,0.083,1.85
2020/11/14 20:00,24.7,6.7,6.82,168.1,21.1,6.24,0.144,0.082,1.84
2020/11/15 0:00,24.4,6.63,6.49,164.2,17.6,4.55,0.141,0.08,1.8
2020/11/15 4:00,24.4,6.59,6.46,158.8,21.9,4.55,0.141,0.08,1.8
2020/11/15 8:00,24.2,6.58,6.41,159,21.2,6.05,0.152,0.079,1.84
2020/11/15 12:00,24.5,6.63,6.94,160.4,22.2,4.4,0.156,0.077,1.44
2020/11/15 16:00,24.6,6.66,6.86,158.4,17.5,6.29,0.152,0.082,1.76
