time,temp,pH,DissolvedOxygen,Conductivity,Turbidity,PermanganateIndex,AmmoniaNitrogen,TotalPhosphorus,TotalNitrogen
2020/11/9 0:00,24.9,6.85,6.09,128,7.9,3.93,0.025,0.048,0.94
2020/11/9 4:00,24.6,6.71,5.39,127.9,9.9,3.93,0.025,0.048,0.94
2020/11/9 8:00,24.4,6.71,5.37,127.9,9.9,3.38,0.057,0.052,0.92
2020/11/9 12:00,25.1,6.94,6.26,128.9,8.7,3.6,0.057,0.052,0.97
2020/11/9 16:00,25.4,6.94,6.73,128.9,8.7,3.69,0.034,0.05,1.02
2020/11/9 20:00,25,7.06,6.6,129.3,7.5,3.92,0.025,0.049,1.01
2020/11/10 0:00,24.7,7.06,5.93,129.3,7.5,3.46,0.025,0.048,0.94
2020/11/10 4:00,24.4,6.76,5.64,128.9,10.2,3.46,0.025,0.048,0.94
2020/11/10 8:00,24.2,6.76,5.36,128.9,10.2,3.59,0.044,0.048,0.93
2020/11/10 12:00,24.5,6.84,6.13,129.1,12.9,3.51,0.059,0.053,0.97
2020/11/10 16:00,25.2,7,6.82,131,9.5,3.67,0.045,0.053,0.92
2020/11/10 20:00,24.7,6.86,6.3,130.3,8.3,3.42,0.035,0.058,1.07
2020/11/11 0:00,24.4,6.76,5.9,129.4,9.4,3.58,0.034,0.05,0.91
2020/11/11 4:00,24.3,6.73,5.68,129.1,10.1,3.58,0.034,0.05,0.91
2020/11/11 8:00,24.2,6.72,5.62,129.4,12.1,3.48,0.043,0.051,0.9
2020/11/11 12:00,24.7,6.87,6.31,129.5,10.6,3.48,0.063,0.052,1.01
2020/11/11 16:00,25.9,7.07,6.8,129.7,8.8,3.74,0.036,0.053,0.94
2020/11/11 20:00,25.3,6.98,6.58,130.7,8.3,3.74,0.032,0.05,1.06
2020/11/12 0:00,24.8,6.84,6.22,130.3,8.3,3.46,0.042,0.046,1.03
2020/11/12 4:00,24.4,6.8,6.01,129.9,8.2,3.46,0.042,0.046,1.03
2020/11/12 8:00,24.2,6.67,5.47,129.5,9.9,3.32,0.036,0.047,0.99
2020/11/12 12:00,25.2,6.96,6.68,129.5,7.9,3.62,0.052,0.051,1.02
2020/11/12 16:00,25.5,7.15,6.98,130.9,8.4,3.67,0.025,0.048,1.01
2020/11/12 20:00,25,6.88,6.47,132.1,7.5,3.61,0.025,0.047,1.05
2020/11/13 0:00,24.5,6.82,6.5,131.7,8.2,3.7,0.025,0.046,1.17
2020/11/13 4:00,24.2,6.75,6.03,131,9.1,3.7,0.025,0.046,1.17
2020/11/13 8:00,24,6.7,5.59,131.6,10,3.48,0.04,0.044,0.98
2020/11/13 12:00,24.6,6.84,6.15,132.3,10,3.47,0.067,0.046,1.04
2020/11/13 16:00,25.3,6.94,6.38,133,8.1,3.51,0.051,0.048,1.01
2020/11/13 20:00,24.8,6.87,6.35,132.8,7.9,3.65,0.052,0.051,1.09
2020/11/14 0:00,24.4,6.74,6.15,132.5,7.8,3.55,0.047,0.048,1.03
2020/11/14 4:00,24.2,6.72,5.74,131.9,9.9,3.55,0.047,0.048,1.03
2020/11/14 8:00,24,6.69,5.75,132.2,13,3.25,0.05,0.045,0.99
2020/11/14 12:00,23.8,6.73,5.99,132.1,10.7,3.44,0.069,0.048,0.99
2020/11/14 16:00,24,6.68,5.86,132.2,12.3,3.52,0.05,0.049,0.94
2020/11/14 20:00,23.7,6.73,5.99,132.5,12.8,3.52,0.054,0.049,0.92
2020/11/15 0:00,23.7,6.73,5.9,132.7,13.1,3.16,0.068,0.048,0.95
2020/11/15 4:00,23.6,6.72,5.87,132.8,13.4,3.16,0.068,0.048,0.95
2020/11/15 8:00,23.6,6.72,5.71,133,10.4,3.32,0.075,0.048,1
2020/11/15 12:00,24.3,6.84,6.25,132.3,11.7,3.45,0.072,0.049,1.08
2020/11/15 16:00,24.4,6.84,6.24,132.2,11.3,3.67,0.058,0.053,1.03
2020/11/15 20:00,24.4,6.84,6.22,131.9,11.2,3.48,0.048,0.047,1.02
2020/11/16 0:00,24.3,6.86,6.42,131.2,10.1,3.45,0.042,0.047,1.05
2020/11/16 4:00,24.2,6.75,5.94,131.8,8.9,3.22,0.035,0.046,1.02
2020/11/16 8:00,24.1,6.7,5.71,132.4,8.4,3.23,0.044,0.046,1.06
2020/11/16 12:00,24.9,7.1,7.13,131.9,8.7,3.48,0.057,0.052,1.26
2020/11/16 16:00,25.2,7.26,7.47,129.5,9.4,3.98,0.025,0.054,1.15
2020/11/16 20:00,24.8,7.08,6.99,128.7,9.2,4.25,0.025,0.053,1.01
2020/11/17 0:00,24.6,6.96,6.67,128.6,8.4,3.79,0.025,0.044,0.88
2020/11/17 4:00,24.4,6.85,6.3,129.2,8.2,3.65,0.025,0.04,0.87
2020/11/17 8:00,24.3,6.86,6.37,128.9,7.9,3.63,0.025,0.045,0.88
2020/11/17 12:00,24.8,7.38,7.61,128.7,8.5,3.68,0.025,0.045,0.97
2020/11/17 16:00,25,7.76,7.9,128.5,10.3,4.28,0.025,0.051,0.96
2020/11/17 20:00,24.9,7.47,7.54,128.7,7.5,4.43,0.025,0.053,0.9
2020/11/18 0:00,24.7,7.07,7.08,129.2,7.1,3.92,0.025,0.043,0.83
2020/11/18 4:00,24.5,7.11,6.91,128.9,6.9,3.69,0.025,0.041,0.84
2020/11/18 8:00,24.4,7.06,6.78,128.5,7.1,3.72,0.025,0.041,0.81
2020/11/18 12:00,24.8,7.53,7.85,128.4,7.5,3.88,0.025,0.043,0.89
2020/11/18 16:00,25.4,7.68,8.04,128.1,7.1,4.45,0.025,0.055,0.96
2020/11/18 20:00,25.3,7.48,7.99,128.3,6.5,4.48,0.025,0.049,1.01
2020/11/19 0:00,25,7.19,7.41,128.7,5.9,3.9,0.025,0.042,0.9
